--- Convergence Test: Rho=0.45, N=1000 ---
Box Size L: 21.0353
Step     Time     Overlaps   MaxOv     
0        0.00     1758       1.7395    
100      1.00     2325       1.9250    
200      2.00     2419       1.9655    
300      3.00     2291       1.8737    
400      4.00     2317       1.8895    
500      5.00     2272       1.9847    
600      6.00     2328       1.9415    
700      7.00     2187       1.8913    
800      8.00     2287       1.8218    
900      9.00     2199       1.9873    
1000     10.00    2467       1.9207    
1100     11.00    2232       1.9709    
1200     12.00    2272       1.8353    
1300     13.00    2462       1.9008    
1400     14.00    2403       1.9810    
1500     15.00    2344       1.9302    
1600     16.00    2299       1.8878    
1700     17.00    2385       1.9298    
1800     18.00    2222       1.8968    
1900     19.00    2282       1.9326    
2000     20.00    2305       1.8768    
Generated 500 points for shape type 0.
Simulation initialized. Seeding particles...
