Created Shape ID 0 via Manager. Points: 0
Simulation initialized. Seeding particles...
Added Plane: Point(0.00, -5.00, 0.00) Normal(0.00, 1.00, 0.00)
Contact 0: vn=-2.940000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.470000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-4.410001, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.980000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.980000, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-2.205000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-2.205000, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.490000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.490000, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-1.102500, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-1.102500, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.245000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.245000, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.551250, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.551250, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.122500, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.122500, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.275625, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.275625, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.061250, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.061250, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.137813, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.137813, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.030625, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.030625, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.068906, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.068906, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.015313, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.015313, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.034453, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.034453, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.007656, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.007656, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.017227, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.017227, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.003828, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.003828, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.008613, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.008613, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.001914, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.001914, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.004307, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.980957, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 1: vn=-0.490000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 1: vn=-5.384738, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.490000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-4.657633, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 2: vn=-0.490000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.490000, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-2.328816, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-2.328816, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-3.493225, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
Contact 1: vn=-0.245000, n=(0.000000, -1.000000, 0.000000), idA=1, idB=2
Contact 2: vn=-0.245000, n=(0.000000, 1.000000, 0.000000), idA=0, idB=-1
Contact 0: vn=-0.367500, n=(0.000000, -1.000000, 0.000000), idA=0, idB=1
