===================================================
  DEM-GPU: High Density Packing Parameter Study
===================================================

--- Temperature: 0.1 ---
Testing Rho=0.40...Generated 500 points for shape type 0.
Simulation initialized. Seeding particles...
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 995 and 885 (slot 1)
DEBUG: Found collision: 998 and 278 (slot 2)
DEBUG: Found collision: 832 and 786 (slot 3)
DEBUG: Found collision: 851 and 169 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 995 and 885 (slot 1)
DEBUG: Found collision: 998 and 278 (slot 2)
DEBUG: Found collision: 640 and 83 (slot 3)
DEBUG: Found collision: 670 and 609 (slot 4)
DEBUG: Found collision: 832 and 786 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 995 and 885 (slot 2)
DEBUG: Found collision: 998 and 278 (slot 3)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 995 and 885 (slot 2)
DEBUG: Found collision: 998 and 278 (slot 3)
DEBUG: Found collision: 257 and 795 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 278 (slot 1)
DEBUG: Found collision: 929 and 415 (slot 2)
DEBUG: Found collision: 934 and 278 (slot 3)
DEBUG: Found collision: 936 and 765 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 278 (slot 1)
DEBUG: Found collision: 929 and 415 (slot 2)
DEBUG: Found collision: 934 and 278 (slot 3)
DEBUG: Found collision: 936 and 765 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 278 (slot 1)
DEBUG: Found collision: 929 and 415 (slot 2)
DEBUG: Found collision: 934 and 278 (slot 3)
DEBUG: Found collision: 936 and 765 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 480 and 83 (slot 2)
DEBUG: Found collision: 482 and 784 (slot 3)
DEBUG: Found collision: 483 and 42 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 257 and 659 (slot 1)
DEBUG: Found collision: 259 and 554 (slot 2)
DEBUG: Found collision: 266 and 3 (slot 3)
DEBUG: Found collision: 269 and 645 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 832 and 786 (slot 1)
DEBUG: Found collision: 834 and 463 (slot 2)
DEBUG: Found collision: 851 and 169 (slot 3)
DEBUG: Found collision: 852 and 874 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 257 and 795 (slot 1)
DEBUG: Found collision: 259 and 554 (slot 2)
DEBUG: Found collision: 266 and 3 (slot 3)
DEBUG: Found collision: 269 and 645 (slot 4)
DEBUG: Found collision: 936 and 765 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 956 and 115 (slot 3)
DEBUG: Found collision: 957 and 593 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 936 and 765 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 940 and 704 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 4)
DEBUG: Found collision: 936 and 765 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 956 and 115 (slot 3)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 936 and 765 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 940 and 704 (slot 4)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 956 and 115 (slot 3)
DEBUG: Found collision: 957 and 593 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 994 and 978 (slot 1)
DEBUG: Found collision: 936 and 608 (slot 2)
DEBUG: Found collision: 937 and 953 (slot 3)
DEBUG: Found collision: 940 and 704 (slot 4)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 956 and 115 (slot 3)
DEBUG: Found collision: 957 and 593 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 832 and 786 (slot 4)
DEBUG: Found collision: 416 and 554 (slot 1)
DEBUG: Found collision: 428 and 842 (slot 2)
DEBUG: Found collision: 439 and 568 (slot 3)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 947 and 266 (slot 3)
DEBUG: Found collision: 956 and 115 (slot 4)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 947 and 266 (slot 3)
DEBUG: Found collision: 956 and 115 (slot 4)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 945 and 410 (slot 3)
DEBUG: Found collision: 956 and 115 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 416 and 554 (slot 2)
DEBUG: Found collision: 421 and 953 (slot 3)
DEBUG: Found collision: 428 and 842 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 480 and 83 (slot 2)
DEBUG: Found collision: 482 and 784 (slot 3)
DEBUG: Found collision: 483 and 42 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 416 and 554 (slot 2)
DEBUG: Found collision: 421 and 953 (slot 3)
DEBUG: Found collision: 428 and 842 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 0 and 437 (slot 2)
DEBUG: Found collision: 4 and 327 (slot 3)
DEBUG: Found collision: 9 and 807 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 416 and 554 (slot 2)
DEBUG: Found collision: 421 and 953 (slot 3)
DEBUG: Found collision: 428 and 842 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 998 and 593 (slot 1)
DEBUG: Found collision: 389 and 554 (slot 2)
DEBUG: Found collision: 392 and 602 (slot 3)
DEBUG: Found collision: 396 and 683 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 993 and 656 (slot 1)
DEBUG: Found collision: 998 and 593 (slot 2)
DEBUG: Found collision: 448 and 657 (slot 3)
DEBUG: Found collision: 454 and 23 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 993 and 656 (slot 1)
DEBUG: Found collision: 998 and 593 (slot 2)
DEBUG: Found collision: 416 and 554 (slot 3)
DEBUG: Found collision: 421 and 953 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 993 and 656 (slot 1)
DEBUG: Found collision: 998 and 593 (slot 2)
DEBUG: Found collision: 0 and 437 (slot 3)
DEBUG: Found collision: 4 and 327 (slot 4)
DEBUG: Found collision: 480 and 83 (slot 0)
DEBUG: Found collision: 482 and 784 (slot 1)
DEBUG: Found collision: 488 and 305 (slot 2)
DEBUG: Found collision: 491 and 645 (slot 3)
DEBUG: Found collision: 492 and 736 (slot 4)
DEBUG: Found collision: 936 and 608 (slot 0)
DEBUG: Found collision: 937 and 953 (slot 1)
DEBUG: Found collision: 940 and 704 (slot 2)
DEBUG: Found collision: 945 and 410 (slot 3)
DEBUG: Found collision: 956 and 93 (slot 4)
DEBUG: Found collision: 673 and 154 (slot 0)
DEBUG: Found collision: 680 and 548 (slot 1)
DEBUG: Found collision: 685 and 552 (slot 2)
DEBUG: Found collision: 687 and 458 (slot 3)
DEBUG: Found collision: 701 and 721 (slot 4)
DEBUG: Found collision: 935 and 466 (slot 3)
DEBUG: Found collision: 936 and 608 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 993 and 656 (slot 1)
DEBUG: Found collision: 998 and 593 (slot 2)
DEBUG: Found collision: 935 and 466 (slot 0)
DEBUG: Found collision: 936 and 608 (slot 1)
DEBUG: Found collision: 937 and 953 (slot 2)
DEBUG: Found collision: 940 and 704 (slot 3)
DEBUG: Found collision: 945 and 410 (slot 4)
DEBUG: Found collision: 935 and 466 (slot 3)
DEBUG: Found collision: 936 and 608 (slot 4)
DEBUG: Found collision: 992 and 440 (slot 0)
DEBUG: Found collision: 993 and 656 (slot 1)
DEBUG: Found collision: 998 and 593 (slot 2)
DEBUG: Found collision: 935 and 466 (slot 0)
DEBUG: Found collision: 936 and 608 (slot 1)
DEBUG: Found collision: 937 and 953 (slot 2)
DEBUG: Found collision: 940 and 704 (slot 3)
DEBUG: Found collision: 945 and 410 (slot 4)
DEBUG: Found collision: 935 and 466 (slot 0)
DEBUG: Found collision: 936 and 608 (slot 1)
DEBUG: Found collision: 937 and 953 (slot 2)
DEBUG: Found collision: 940 and 704 (slot 3)
DEBUG: Found collision: 945 and 410 (slot 4)
DEBUG: Found collision: 899 and 736 (slot 3)
DEBUG: Found collision: 900 and 351 (slot 4)
DEBUG: Found collision: 544 and 426 (slot 0)
